Viabilidad,Aportaciones,Duracion,Historia,Tipo,Sueldo,Ahorro,Antiguedad,Porcentaje,EdoCivil,Aval,Residencia,Seguro,Edad,Adeudos,Vivienda,otraPension,tipoAfiliado,Dependientes,Ley,Foraneo
0,0,15,1,1,35401.50,0,0,92,1,1,22,0,60,1,0,1,1,2,0,0
0,0,30,1,1,7703.53,1,1,83,0,1,25,0,61,0,0,0,2,3,1,0
0,2,11,0,0,4059.66,0,0,54,1,1,25,1,57,0,1,1,4,1,0,1
0,1,13,0,1,43892.53,0,0,73,0,0,6,0,52,1,0,0,0,3,1,1
1,2,14,2,0,8123.53,0,1,56,1,0,26,0,65,0,0,1,4,1,0,0
0,2,6,0,0,10500.00,0,1,91,0,0,26,0,58,1,0,1,2,1,1,1
0,1,2,2,0,15646.51,1,1,91,1,1,13,0,66,1,0,1,0,1,0,1
1,0,1,2,2,8375.02,0,1,65,1,0,24,0,69,1,1,0,1,3,1,1
1,2,18,1,0,5419.20,0,0,95,0,0,8,1,64,1,1,0,0,2,1,1
1,0,2,0,1,6251.69,0,0,96,1,1,5,0,55,0,1,0,1,1,0,1
1,0,20,1,2,6200.00,1,1,86,0,0,7,1,61,0,0,1,2,1,0,1
1,0,17,0,2,19819.20,1,0,69,0,1,14,1,50,0,1,0,0,0,0,0
0,2,15,1,0,5421.26,1,1,97,2,1,6,0,55,1,0,1,3,2,1,0
0,1,11,1,0,2430.00,1,1,74,1,0,5,1,52,0,0,0,4,3,0,0
0,1,29,1,0,14837.56,0,1,100,1,1,5,0,59,0,0,1,2,1,1,1
0,1,2,0,0,23999.40,0,0,78,1,0,16,1,54,1,0,0,0,3,0,0
1,0,26,2,1,9999.00,1,1,81,0,0,12,1,59,1,1,0,3,3,0,0
1,0,15,0,0,4145.14,0,0,68,1,1,28,0,50,0,1,1,2,2,0,1
1,2,16,1,2,5301.36,1,0,61,1,1,20,0,64,1,0,0,3,3,0,0
1,1,27,1,0,13552.35,1,0,85,3,1,13,0,50,0,0,1,0,2,1,1
1,1,16,2,0,7572.15,1,0,53,1,1,9,1,57,0,1,1,2,1,0,0
1,2,22,2,1,8192.64,1,0,77,1,1,28,0,68,0,0,0,2,3,1,0
1,1,4,2,2,4412.83,0,1,99,1,1,11,0,59,0,1,0,4,2,1,0
0,0,12,2,0,10269.73,1,1,61,2,1,26,0,55,1,1,1,3,1,0,1
1,0,1,1,2,9720.19,1,0,59,1,1,24,1,49,0,0,1,4,1,1,0
0,1,3,1,2,4780.17,1,0,59,1,1,18,0,58,0,0,0,0,1,0,0
1,2,21,0,1,9108.30,0,0,61,1,1,13,0,58,0,1,1,4,3,1,0
0,1,4,1,1,3625.84,1,0,69,1,1,6,0,63,1,0,1,3,3,1,1
1,2,6,0,0,7009.36,1,0,56,1,1,14,1,53,0,1,1,4,0,1,1
1,0,13,1,2,4802.62,1,1,94,0,0,10,0,51,0,0,0,4,2,1,1
1,0,22,1,0,5421.26,1,1,100,3,1,15,0,58,0,0,1,2,3,1,1
0,2,22,1,0,9634.80,0,1,62,0,1,12,1,50,0,1,1,2,1,1,1
0,0,6,0,2,11093.10,1,0,78,1,0,8,1,50,1,1,0,4,1,0,0
0,2,20,1,2,9311.10,0,0,65,1,0,19,1,54,1,0,1,3,0,1,1
1,2,27,2,0,8292.75,1,0,73,0,1,30,1,67,0,1,1,1,2,1,0
0,0,28,0,2,4023.03,0,0,62,0,0,6,1,52,0,1,0,4,2,0,1
1,0,18,1,0,35401.50,0,0,83,0,1,16,1,51,0,0,0,4,1,0,0
0,2,14,0,1,4023.03,0,1,70,0,1,27,1,66,0,0,1,3,2,1,0
1,2,13,1,0,7059.32,0,0,77,1,0,7,0,60,1,1,1,4,0,1,1
0,2,24,2,0,4324.58,1,0,54,1,0,28,1,52,1,0,0,2,0,0,0
0,0,22,0,0,9903.33,0,1,92,1,1,16,0,67,0,0,0,3,3,1,1
0,1,24,2,0,29879.25,0,1,54,0,1,20,1,67,0,0,0,0,3,0,0
0,2,26,0,1,5609.64,0,1,57,1,0,6,0,50,1,0,1,4,2,0,0
1,2,18,0,2,4105.58,1,1,86,0,0,29,0,56,1,1,0,4,3,1,0
0,0,26,2,2,3308.10,1,0,53,1,1,11,0,58,0,1,1,0,1,1,1
1,1,25,2,0,4018.40,1,1,75,1,0,7,0,67,1,1,0,4,1,1,0
0,2,13,2,1,5133.40,0,1,66,1,0,28,1,68,1,0,0,4,2,0,0
1,1,22,2,0,16431.60,1,0,70,0,0,15,0,50,1,0,1,4,0,0,1
0,1,29,1,0,3203.30,1,1,97,3,0,24,1,62,1,0,1,1,2,1,0
1,0,3,2,1,5421.26,1,1,88,1,1,19,1,55,1,1,0,2,3,1,1
0,1,20,1,2,5421.26,1,1,81,1,0,18,1,67,1,1,1,4,3,1,1
1,1,2,1,2,3353.18,1,1,56,1,0,27,1,50,0,0,0,3,2,0,0
1,0,24,0,0,4022.14,1,1,91,1,0,20,1,52,0,1,1,1,1,1,1
1,2,8,2,0,2504.88,0,0,69,0,1,9,0,63,1,0,0,1,1,0,0
0,2,8,1,1,2401.20,1,0,93,1,0,9,0,57,0,0,1,3,2,1,1
0,2,1,2,1,2401.20,0,1,76,1,1,18,0,64,1,1,1,4,3,0,1
0,1,10,1,0,4086.27,0,1,89,1,0,17,0,49,0,0,1,0,1,1,1
0,0,25,0,0,14473.00,1,1,81,1,1,8,0,65,1,1,0,3,1,0,0
1,1,1,1,1,2476.20,1,0,52,0,1,22,0,50,1,0,1,0,0,1,0
0,0,15,2,1,4942.32,0,1,72,1,1,24,1,51,0,0,1,0,0,0,0
1,0,11,1,0,4066.72,0,1,94,1,0,16,0,62,0,0,0,0,2,0,0
1,0,7,2,2,10303.53,0,1,82,1,1,17,0,65,0,1,0,1,0,0,0
0,1,13,0,0,5041.89,1,0,97,1,0,14,0,54,1,1,1,4,3,1,1
0,2,27,2,0,9662.83,1,0,74,0,1,6,0,60,0,1,1,0,0,1,0
1,1,15,0,1,24000.00,0,0,100,1,1,19,1,49,0,1,1,3,3,1,1
1,1,10,0,2,8929.72,0,0,97,0,0,25,0,58,0,1,0,3,3,0,1
0,2,3,1,0,8820.00,0,1,62,1,1,29,1,57,1,1,0,4,1,0,1
1,1,24,2,0,7009.36,1,1,92,1,1,7,0,63,1,1,1,4,0,0,0
1,1,4,2,2,5421.26,1,0,83,0,0,25,0,53,0,0,1,4,3,0,0
1,2,19,1,2,9150.00,1,0,62,1,0,21,1,55,1,1,1,1,2,0,1
0,1,10,1,2,4018.40,1,1,75,0,1,27,1,54,1,0,0,2,1,1,0
0,0,14,1,0,2401.20,0,1,88,1,1,18,0,60,1,0,0,0,3,1,1
1,0,30,2,2,4015.94,1,0,59,1,1,30,1,60,0,1,1,0,3,1,0
1,0,10,1,2,4421.37,1,0,62,1,0,19,1,60,1,0,1,2,1,0,0
1,2,20,0,0,9999.00,1,1,52,0,1,26,1,60,0,0,1,3,2,0,0
1,2,10,0,2,4059.66,1,1,74,1,0,29,1,62,1,0,1,1,3,1,0
1,0,25,2,2,4456.16,1,0,68,0,1,11,1,69,1,0,0,4,2,1,0
0,2,8,1,0,4047.81,0,1,53,1,1,13,0,57,0,0,0,0,3,0,0
1,2,18,2,1,3801.60,0,1,100,0,0,5,0,67,0,1,0,2,3,0,1
1,1,15,2,2,11218.80,1,0,82,1,0,16,1,51,0,0,1,4,2,0,1
0,2,20,2,2,4456.16,1,1,60,1,1,20,1,51,1,1,0,3,2,1,0
0,2,14,0,1,4018.40,0,0,86,1,1,25,1,50,0,1,0,4,0,1,1
1,2,2,0,0,5572.00,1,1,71,1,0,26,1,56,0,0,0,0,1,1,0
1,2,22,0,0,4755.00,1,0,80,1,1,27,1,65,1,1,1,4,1,0,1
0,2,26,1,2,8192.64,0,0,64,3,1,11,1,54,0,0,1,0,0,0,0
0,2,28,2,2,5301.57,1,1,50,0,0,16,1,59,1,1,1,0,3,0,0
0,2,14,1,2,5620.20,1,0,64,1,0,8,1,57,0,0,1,2,3,1,0
0,1,2,2,1,5301.36,1,0,80,0,0,26,0,51,1,0,0,2,2,0,0
0,0,8,2,0,5301.36,0,0,56,1,0,16,1,58,1,1,1,3,1,1,0
1,1,5,0,1,3409.07,0,0,80,1,0,20,1,55,1,0,1,2,2,1,1
1,1,29,2,0,4780.17,0,0,62,0,0,8,0,64,1,0,1,1,2,1,0
0,2,30,0,2,8192.64,0,0,50,0,1,30,0,64,1,0,1,2,1,1,1
0,1,20,0,0,5885.69,1,0,73,0,1,5,1,59,1,0,0,0,1,1,1
1,1,26,0,1,4086.27,1,0,91,1,0,10,1,49,0,0,0,2,1,0,1
0,1,13,2,2,5609.64,0,1,91,1,0,8,0,67,0,0,0,0,1,1,1
1,2,29,1,0,9999.00,0,0,98,0,1,22,1,68,0,1,1,3,0,1,1
0,0,2,2,1,13702.40,1,0,74,1,0,15,1,65,0,1,1,0,1,1,0
0,1,20,2,1,16739.10,1,1,100,1,1,5,1,66,0,1,1,4,2,0,1
0,1,23,0,2,9662.83,1,0,62,1,0,13,1,69,1,1,0,4,3,0,0
0,1,28,0,0,5135.40,1,1,71,1,0,19,1,67,1,1,0,0,2,0,1
1,1,20,2,2,6251.69,1,1,82,1,0,15,1,58,1,0,0,1,0,1,0
0,1,14,2,0,5453.25,1,0,60,1,1,10,1,64,1,1,0,4,1,0,1
0,0,4,0,1,3552.60,0,0,67,0,1,25,0,61,0,0,1,0,0,0,0
0,0,24,0,2,8039.00,1,1,81,0,0,20,1,61,0,0,1,2,0,1,1
0,1,28,1,1,9999.00,0,1,65,0,0,24,1,55,0,0,0,3,2,0,1
0,2,29,1,0,7170.00,1,0,67,1,1,10,1,53,0,0,0,2,2,1,1
1,0,20,0,0,5625.76,0,1,82,1,0,27,1,59,1,0,0,1,1,1,0
1,0,4,0,1,7289.00,0,0,99,1,1,26,1,49,1,1,0,2,0,1,0
0,2,27,2,0,8929.72,0,1,93,0,1,30,1,57,1,1,1,1,1,0,1
0,1,2,2,0,8039.00,0,0,85,0,0,29,1,64,1,1,1,2,3,1,0
1,0,5,2,2,4456.16,0,1,59,1,0,10,0,69,0,1,1,1,2,1,0
1,1,10,2,1,5453.25,1,1,89,1,0,28,1,51,0,1,1,3,2,1,1
1,0,25,2,0,4324.58,0,0,86,0,0,19,0,67,1,1,1,4,2,0,1
1,0,18,1,2,4324.58,1,0,70,1,0,26,0,50,1,1,1,3,1,0,1
1,1,19,1,2,3885.00,0,1,66,0,1,26,1,52,1,1,1,3,3,1,0
1,1,24,2,0,58113.88,1,0,85,1,1,5,0,54,0,0,0,2,2,1,0
1,1,22,2,1,8192.64,0,0,68,1,0,30,1,54,1,1,0,4,2,0,1
0,0,6,0,2,2401.20,1,1,91,0,0,13,1,54,1,0,1,4,1,0,0
0,0,9,1,2,4023.03,1,0,67,1,1,22,1,58,0,1,1,1,0,0,0
1,2,18,0,2,24174.00,0,0,77,1,0,12,1,54,1,1,0,0,1,1,1
0,1,23,0,2,8929.72,0,1,94,1,0,18,1,69,0,0,0,2,3,0,0
1,2,5,0,2,7097.65,1,1,83,0,1,13,0,61,1,0,1,3,0,0,0
0,0,14,0,2,5421.26,1,0,83,0,1,16,0,64,0,0,1,2,3,0,1
1,2,13,1,1,5548.80,1,0,97,1,1,14,1,67,1,0,1,2,2,1,0
0,0,7,1,0,4324.58,0,0,59,0,1,7,1,67,0,1,1,2,2,1,1
0,1,16,1,0,2470.37,1,1,86,1,0,11,1,67,0,0,0,3,2,1,0
1,2,20,1,0,5885.69,1,0,73,1,1,29,0,65,0,0,1,3,3,0,0
0,1,12,2,0,4213.20,0,1,80,1,1,16,1,67,1,0,0,1,2,0,1
0,1,5,1,1,4780.17,0,0,84,1,1,7,0,55,1,0,0,2,2,1,0
0,2,24,1,1,6015.60,0,1,77,0,1,24,1,65,0,1,0,4,3,1,1
0,1,5,1,0,2430.00,1,1,67,1,1,7,0,63,0,1,0,3,0,1,1
1,1,8,1,1,7638.13,0,0,69,2,1,14,0,64,0,1,1,3,1,1,1
1,2,16,0,0,7906.50,0,0,98,1,1,18,1,49,1,0,0,2,0,1,1
0,1,4,2,0,7572.15,0,0,68,1,1,28,1,62,1,0,0,0,0,1,1
1,2,14,1,2,9903.33,0,1,54,1,1,27,1,51,1,0,0,4,1,0,1
1,2,27,2,0,8192.64,0,1,61,0,1,22,1,57,1,1,0,3,0,0,0
0,0,4,1,2,25281.93,1,0,89,0,0,9,0,54,0,0,1,2,3,0,1
0,1,20,1,0,11475.00,0,1,93,1,0,21,1,54,0,0,0,3,0,0,1
1,1,24,1,0,4059.66,1,0,89,1,0,22,1,49,1,1,1,1,0,0,1
1,1,19,0,2,5176.26,1,1,80,1,1,7,1,62,1,0,1,3,3,0,1
0,2,14,0,2,2430.00,0,0,88,1,1,13,0,53,1,0,0,2,1,1,1
0,2,17,2,2,2430.00,0,1,61,3,0,19,1,56,0,1,1,1,0,0,0
0,2,24,0,1,4230.00,0,1,64,3,0,16,0,59,1,0,1,0,2,1,0
1,0,13,1,0,3625.84,0,0,51,1,1,30,0,63,0,1,1,3,1,0,1
0,1,22,1,2,2911.35,1,1,59,0,0,8,0,58,1,0,0,2,2,0,1
1,0,27,2,1,3393.38,0,1,86,1,1,26,0,51,1,0,0,0,3,1,0
0,1,29,0,1,8192.64,1,1,54,0,1,29,1,62,0,1,1,0,3,1,0
0,2,5,2,0,5022.30,0,1,50,1,1,14,1,64,0,1,0,4,0,0,1
0,0,22,1,1,4456.16,0,0,93,1,1,10,0,61,1,0,1,3,2,1,1
1,2,28,2,1,5453.25,1,1,60,1,0,8,0,64,1,1,0,0,3,1,1
0,2,2,1,0,5088.00,1,0,97,3,0,7,1,65,0,0,0,2,2,0,1
1,1,14,0,1,3885.00,1,0,61,3,1,11,1,57,1,1,0,1,3,0,1
1,0,6,0,2,5088.00,1,0,68,1,0,30,0,49,0,1,1,2,1,1,0
0,0,2,1,2,5083.94,1,1,60,2,1,11,0,64,0,0,0,4,1,1,0
0,1,18,0,0,3885.00,1,1,92,1,0,19,0,59,1,0,1,1,3,1,0
0,1,17,2,0,2910.00,1,0,55,3,0,10,0,59,0,0,1,1,2,0,0
1,1,23,1,0,8700.72,1,0,92,1,0,12,1,59,0,1,0,2,3,1,0
0,0,21,1,0,17832.36,0,0,61,1,1,24,1,52,1,1,0,3,2,0,0
0,0,5,1,1,4421.37,0,0,57,0,0,27,0,63,1,1,1,2,0,1,0
1,1,6,2,0,7239.58,1,1,75,0,0,5,0,51,1,0,0,3,2,1,1
0,0,22,2,1,5609.64,0,1,81,1,1,7,1,62,0,1,1,3,3,1,1
1,2,3,2,1,3885.00,0,0,95,3,1,20,1,53,0,0,0,0,1,0,1
0,1,23,1,2,3393.38,1,0,98,1,1,5,0,60,1,0,0,2,3,1,0
0,1,28,1,0,4023.03,1,0,65,0,0,19,0,50,1,0,0,1,2,1,0
1,0,10,0,0,4040.03,1,1,94,1,1,16,0,69,0,0,0,0,0,1,1
0,1,27,0,2,4023.03,0,0,93,1,0,14,1,63,0,0,1,3,1,1,0
1,1,8,0,1,7572.15,0,0,62,1,1,12,1,49,1,0,1,1,1,1,0
1,2,12,1,0,4599.69,0,1,78,1,0,17,0,51,0,0,0,1,2,0,1
1,1,7,1,2,56194.07,0,0,95,1,0,12,1,68,0,1,1,4,0,1,1
1,2,2,1,2,20347.74,0,1,67,1,0,13,0,61,1,1,0,0,0,1,1
1,2,25,2,2,7638.13,1,1,54,0,1,24,1,55,1,1,0,2,3,1,1
0,1,15,1,2,9069.00,0,0,92,1,0,16,1,66,1,1,0,0,3,0,1
0,1,3,2,2,2814.96,0,0,67,0,1,19,1,67,0,0,0,2,0,0,0
0,2,23,1,2,9662.83,1,0,79,1,0,25,0,62,1,0,1,2,0,0,1
1,0,2,0,1,3885.00,0,1,99,0,1,24,1,65,0,0,0,0,3,1,1
1,2,3,1,0,2430.00,1,0,51,3,0,6,0,51,1,0,1,2,1,1,0
1,1,21,1,0,14599.50,1,1,84,0,0,17,0,56,1,0,0,3,1,0,0
1,2,13,0,0,5781.00,1,1,83,1,0,9,0,58,0,1,0,0,3,1,1
0,1,19,2,2,4066.72,1,1,86,0,1,23,1,61,0,1,1,3,2,0,0
1,1,5,0,2,5609.64,1,0,86,1,0,6,0,49,1,1,1,0,2,0,0
1,2,28,2,1,4324.58,1,0,55,1,0,15,1,57,1,1,0,4,2,1,0
0,1,19,2,2,5133.40,0,0,87,0,0,6,1,63,1,0,0,4,3,1,1
1,1,14,0,1,4066.72,0,0,68,1,1,14,1,68,1,1,0,1,2,1,0
0,2,18,1,2,8039.00,1,0,71,1,0,13,1,64,0,0,1,4,3,1,0
0,1,18,2,0,7572.15,1,0,92,1,0,9,1,55,1,0,1,4,3,1,1
1,2,20,1,1,7572.15,1,0,93,0,1,7,1,51,1,0,0,0,2,0,0
0,1,1,2,0,9903.33,0,0,87,1,0,14,1,57,1,1,1,4,3,0,0
1,0,10,0,2,14837.56,0,0,87,0,0,22,0,68,1,1,0,4,1,1,0
0,2,26,2,1,5885.69,0,0,59,1,1,12,0,52,0,0,1,1,1,1,0
0,1,1,1,1,7572.15,1,0,58,1,1,18,1,60,0,0,1,4,2,0,1
1,1,24,1,0,3885.00,0,1,57,1,0,11,0,57,0,0,1,1,0,0,1
1,0,18,2,0,5779.80,0,0,86,1,1,28,0,60,1,1,0,3,0,1,1
0,2,4,0,2,4412.83,1,0,93,1,0,30,1,65,0,1,0,4,1,1,1
0,2,11,1,1,6369.60,0,0,95,2,1,7,0,67,0,0,1,3,2,1,1
0,2,6,2,1,10694.40,0,0,79,1,1,16,0,59,1,1,0,0,0,1,0
